term,importance
weight kg,0.09043132866269445
external,0.09039286034547865
come,0.08993962095095413
left,0.08993506258348213
bearing,0.08978011417896974
large,0.08970009252472547
intention,0.08963432956700602
transferred medical,0.08928618009419201
ankle,0.08909697152598561
cro,0.08907930447660972
cro south,0.08907930447660972
visualizes,0.08907930447660972
floor grating,0.08902718976947167
comes,0.08872424320032395
crane,0.088723961995833
clearing activity,0.08864550433300285
suction spool,0.08864550433300285
spool,0.08864550433300285
spool flange,0.08864550433300285
fz,0.08864550433300285
pump pipe,0.08864550433300285
removal suction,0.08864550433300285
pulp causing,0.08864550433300285
performed pump,0.08864550433300285
fz removal,0.08864550433300285
bolts projection,0.08864550433300285
flange bolts,0.08864550433300285
projection pulp,0.08864550433300285
employees rcio,0.08864550433300285
rcio,0.08864550433300285
pipe clearing,0.08864550433300285
activity fz,0.08864550433300285
rgio,0.08864550433300285
rgio performed,0.08864550433300285
rcio rgio,0.08864550433300285
motor,0.0885669663599972
asks,0.08843700196507574
protective,0.08834868329584429
ask,0.08832879681476334
kg,0.08827332005991638
fit,0.08808789336144426
safety glasses,0.0879547677888064
gate moment,0.08783251642858089
close gate,0.08783251642858089
medical center,0.08781135354333586
section,0.08738148033820696
resident,0.08725122036472009
container,0.08723918656795365
split,0.08710101088332647
technicians,0.08709217221834772
overhead crane,0.08706616676640717
wedge,0.08706616676640717
wedge crusher,0.08706616676640717
withdrawal fixed,0.08706616676640717
block,0.08697180013682629
hose,0.08662956387199584
service,0.08659072087853217
holding,0.08644161639857649
rod easel,0.08626858000695957
adjustment,0.08624905280008331
observing,0.08598620241319228
projects,0.08589930398769181
resting,0.08584099101163514
cut glove,0.08573248125834662
blade,0.08563012075328504
material,0.08548782394158051
movement,0.08488822085961789
diameter,0.0848276359194305
blocked,0.08481698181878848
electric,0.08475937778204302
accident victim,0.08460527062089943
contusion,0.08456904531975891
primary,0.08434808106753663
primary mechanic,0.08434808106753663
eliseo,0.0841909462953247
mr eliseo,0.0841909462953247
event,0.084182935056021
inspection,0.08418056593854739
medical service,0.08416194918590353
activities,0.08379725443666639
key,0.08375589861871605
cruise,0.08345457197292983
maintenance,0.08341244754134161
panel,0.08323845100296237
feet,0.08323349505406138
oil,0.0831864988737373
table,0.08310385175863633
staff,0.08303290103138079
moment mr,0.0829619805416058
area order,0.08282166732289653
unscrew rod,0.0827542315627856
probe key,0.0827542315627856
using griff,0.0827542315627856
unscrew,0.0827542315627856
pressing employee,0.0827542315627856
wrench unscrew,0.0827542315627856
rope,0.08267898826198304
concentrate,0.08260633863206282
lever,0.08252332011752565
reaching left,0.08234533337135261
soon,0.08232541880783764
cm cm,0.08224959754020167
moving,0.08224785404722297
finger left,0.08202056120889194
loading,0.08184885405754526
lights engine,0.08179136824532299
striking,0.08177018767670033
control platform,0.08176095682792468
diesel,0.08176095682792468
near,0.0816109551383004
superficial injury,0.08152348821784054
breaks chain,0.08147867242831933
injury left,0.08145496091368999
workshop,0.08103289799091318
climb,0.08101804720734455
happened,0.0808881995293845
presses bar,0.08088580091709062
presses,0.08088580091709062
uses bar,0.08088580091709062
operator fernando,0.08088580091709062
opening wagons,0.08088580091709062
wagons finds,0.08088580091709062
rear,0.08080730934848852
suffered,0.08069130876295191
locomotive,0.08065819361721156
forearm causing,0.08065258911594445
place,0.08055357860992202
mr ronald,0.08048453809977331
protection grid,0.08048453809977331
later,0.08046674495335784
pieces,0.08043178140984518
irritation,0.08040658744852307
maneuver,0.08038059254635996
reaction,0.08016734414674112
explosives,0.07998916065013668
loading explosives,0.07998916065013668
mr frank,0.07981938259401876
moves generating,0.07981938259401876
preparing place,0.07981938259401876
place floor,0.07981938259401876
moving moves,0.07981938259401876
projecting liquid,0.07979715128854863
waste operator,0.07979715128854863
moves direction,0.07979715128854863
operator proceeds,0.07979715128854863
position,0.07966600948059462
william,0.0796637748072119
moves site,0.07963096704276122
partially discovered,0.07963096704276122
pm falls,0.07963096704276122
noise,0.07941217170889003
chirodactilo,0.07936682666135596
la,0.07926223204686052
clean,0.07925618339829162
cutting,0.0791032291369519
concrete wall,0.07902313005109157
sampler,0.0789717828378906
filter,0.07885142112227413
metal,0.07883508769307371
ore loading,0.07879155494477506
unloading,0.07868421333807792
producing,0.078649538466633
administrative,0.07859831924476127
falls,0.07856234176942187
operator reshaping,0.07843232055159566
point returns,0.07843232055159566
work anchor,0.0784202799815244
platform moment,0.0784202799815244
projects collaborator,0.0784202799815244
position projects,0.0784202799815244
pick manual,0.0784202799815244
affected,0.0782846928087155
weight,0.07824749543257453
make,0.0781534111557212
rubber,0.07809564876806924
transmission,0.07803774299546173
drilling assistants,0.07788284788658598
feeding,0.07786645006727279
holder,0.07758071847873527
mechanical,0.07750389739817913
drainage,0.0774225790613488
hoisting,0.0774157445438366
hit,0.07735775325628438
maintenance work,0.07735679657065482
power cell,0.0771793470093467
noise followed,0.0771793470093467
work having,0.0771793470093467
returns,0.07703717725359087
hdp pipe,0.07698118400399889
automatic,0.0769093170395873
cleaning activity,0.07679233300819246
truck parked,0.07678252586658134
conveyor,0.07677526776384079
nv,0.07676909718794417
falling striking,0.07672930864240865
leg,0.07671086485499135
window struck,0.07655519624995807
ustulation area,0.07655519624995807
projection heated,0.07655519624995807
employee used,0.07650882484121864
performed insertion,0.07650010813894788
movement flange,0.07650010813894788
wedges shifted,0.07650010813894788
wedges,0.07650010813894788
contact,0.07649892689041402
placed left,0.07648630465291587
allergic,0.07645071600499637
pvc pipe,0.07644484271748578
broken causing,0.0762363720288684
carrying,0.0761397153648146
causing injuries,0.07609041829877819
oil pressure,0.07604461397106792
pressure lubrication,0.07604461397106792
held,0.07602456953621164
left foot,0.07602193316653624
mr chuquillanqui,0.07598901948089827
performing movement,0.07598901948089827
place calibrator,0.07598901948089827
movement bar,0.07598901948089827
plate correct,0.07580399575492336
placing boards,0.07580399575492336
plates inclined,0.07580399575492336
position plate,0.07580399575492336
plate arm,0.07580399575492336
displacement,0.07578305242188924
tools,0.07564879680054233
